 Epoch [1/100] | D Loss: 0.2851 | G Total Loss: 2.9900 | Data Loss: 0.3925
Epoch [66/100] | D Loss: 0.1719 | G Total Loss: 7.3165 | Data Loss: 0.2350

Epoch [67/100] | D Loss: 0.1649 | G Total Loss: 7.2597 | Data Loss: 0.2661

Epoch [68/100] | D Loss: 0.2138 | G Total Loss: 5.8583 | Data Loss: 0.2943

Epoch [69/100] | D Loss: 0.1735 | G Total Loss: 5.0464 | Data Loss: 0.2766

Epoch [70/100] | D Loss: 0.2072 | G Total Loss: 5.6681 | Data Loss: 0.3489

Epoch [71/100] | D Loss: 0.1787 | G Total Loss: 6.0853 | Data Loss: 0.2588

Epoch [72/100] | D Loss: 0.1702 | G Total Loss: 6.3958 | Data Loss: 0.3131

Epoch [73/100] | D Loss: 0.1744 | G Total Loss: 5.9066 | Data Loss: 0.3816

Epoch [74/100] | D Loss: 0.2170 | G Total Loss: 3.5796 | Data Loss: 0.2630

Epoch [75/100] | D Loss: 0.1926 | G Total Loss: 5.1030 | Data Loss: 0.2820

Epoch [76/100] | D Loss: 0.1693 | G Total Loss: 8.4035 | Data Loss: 0.2833

Epoch [77/100] | D Loss: 0.2089 | G Total Loss: 4.2872 | Data Loss: 0.3037

Epoch [78/100] | D Loss: 0.3443 | G Total Loss: 2.8498 | Data Loss: 0.2767

Epoch [79/100] | D Loss: 0.1658 | G Total Loss: 7.1176 | Data Loss: 0.2947

Epoch [80/100] | D Loss: 0.1690 | G Total Loss: 7.4044 | Data Loss: 0.2791

Epoch [81/100] | D Loss: 0.1715 | G Total Loss: 6.5966 | Data Loss: 0.3313

Epoch [82/100] | D Loss: 0.1756 | G Total Loss: 5.1234 | Data Loss: 0.3037

Epoch [83/100] | D Loss: 0.3559 | G Total Loss: 2.1363 | Data Loss: 0.2906

Epoch [84/100] | D Loss: 0.1704 | G Total Loss: 9.2885 | Data Loss: 0.3138

Epoch [85/100] | D Loss: 0.1765 | G Total Loss: 5.3429 | Data Loss: 0.3002

Epoch [86/100] | D Loss: 0.1724 | G Total Loss: 5.2867 | Data Loss: 0.3728

Epoch [87/100] | D Loss: 0.1788 | G Total Loss: 5.6948 | Data Loss: 0.2856

Epoch [88/100] | D Loss: 0.2322 | G Total Loss: 3.5064 | Data Loss: 0.2942

Epoch [89/100] | D Loss: 0.2002 | G Total Loss: 6.2221 | Data Loss: 0.3281

Epoch [90/100] | D Loss: 0.3325 | G Total Loss: 2.9170 | Data Loss: 0.2880

Epoch [91/100] | D Loss: 0.3869 | G Total Loss: 2.3243 | Data Loss: 0.2636

Epoch [92/100] | D Loss: 0.1707 | G Total Loss: 10.4920 | Data Loss: 0.4076

Epoch [93/100] | D Loss: 0.1688 | G Total Loss: 6.8851 | Data Loss: 0.3724

Epoch [94/100] | D Loss: 0.2020 | G Total Loss: 4.4403 | Data Loss: 0.3179

Epoch [95/100] | D Loss: 0.3112 | G Total Loss: 2.4468 | Data Loss: 0.3343

Epoch [96/100] | D Loss: 0.1970 | G Total Loss: 3.9348 | Data Loss: 0.2739

Epoch [97/100] | D Loss: 0.1674 | G Total Loss: 9.4707 | Data Loss: 0.3918

Epoch [98/100] | D Loss: 0.1661 | G Total Loss: 6.7938 | Data Loss: 0.3312

Epoch [99/100] | D Loss: 0.1828 | G Total Loss: 4.5880 | Data Loss: 0.2347

Epoch [100/100] | D Loss: 0.1933 | G Total Loss: 5.3683 | Data Loss: 0.3825 
